X,Y1,Y2,Y3,Y4
1000,295.00023523966473,415.04740715026855,1587.8829956054688,22831.54988288879
1500,322.3581314086914,443.4821605682373,2292.807102203369,31282.039880752563
2000,347.6932843526204,481.1614354451497,3270.7812786102295,43666.499853134155
2500,403.6603768666585,525.6895224253336,3982.8617572784424,52136.560678482056
3000,443.1463877360026,554.615338643392,5131.777048110962,64960.784912109375
3500,502.99803415934247,650.3229141235352,5972.365856170654,73183.0792427063
4000,581.8339188893636,702.390988667806,7416.325807571411,87335.10494232178
4500,679.5210043589274,792.0249303181967,8344.726085662842,95833.70208740234
5000,779.2228857676188,900.9373982747396,9880.288124084473,108946.23732566832
5500,891.9035593668619,1016.4629618326823,11035.887002944946,118847.5067615509
6000,996.0858821868896,1130.7017803192139,12151.022672653198,130448.30298423769
6500,1144.6173191070557,1231.339454650879,13954.38289642334,140508.06593894958
7000,1297.0159848531086,1432.1306546529133,15735.50581932068,152367.04087257385
7500,1413.5903517405193,1534.6203645070393,17182.071208953857,170512.38179206848
8000,1621.0510730743408,1774.23890431722,18702.95023918152,181640.92803001404