trace,pos_x,pos_y,vel_x,vel_y,action,result
183,-0.01,1.41,-0.2,0.35,3,False
183,-0.01,1.42,-0.19,0.33,3,False
183,-0.01,1.43,-0.18,0.3,3,False
183,-0.01,1.43,-0.17,0.27,3,False
183,-0.02,1.44,-0.17,0.25,0,False
183,-0.02,1.44,-0.17,0.22,0,False
183,-0.02,1.45,-0.17,0.19,0,False
183,-0.02,1.45,-0.17,0.17,0,False
183,-0.02,1.45,-0.17,0.14,0,False
183,-0.02,1.46,-0.17,0.11,0,False
183,-0.03,1.46,-0.17,0.09,0,False
183,-0.03,1.46,-0.17,0.06,0,False
183,-0.03,1.46,-0.17,0.03,0,False
183,-0.03,1.46,-0.17,0.01,0,False
183,-0.03,1.46,-0.17,-0.02,0,False
183,-0.03,1.46,-0.17,-0.05,0,False
183,-0.04,1.46,-0.17,-0.07,0,False
183,-0.04,1.46,-0.17,-0.1,0,False
183,-0.04,1.45,-0.17,-0.13,0,False
183,-0.04,1.45,-0.16,-0.15,3,False
183,-0.04,1.45,-0.16,-0.18,0,False
183,-0.04,1.44,-0.16,-0.2,0,False
183,-0.05,1.44,-0.16,-0.23,0,False
183,-0.05,1.43,-0.15,-0.26,3,False
183,-0.05,1.42,-0.15,-0.28,0,False
183,-0.05,1.42,-0.15,-0.31,0,False
183,-0.05,1.41,-0.15,-0.34,0,False
183,-0.05,1.4,-0.15,-0.36,0,False
183,-0.05,1.39,-0.15,-0.39,0,False
183,-0.06,1.38,-0.15,-0.42,0,False
183,-0.06,1.37,-0.15,-0.44,0,False
183,-0.06,1.36,-0.15,-0.47,0,False
183,-0.06,1.35,-0.15,-0.5,0,False
183,-0.06,1.34,-0.15,-0.52,0,False
183,-0.06,1.33,-0.15,-0.55,0,False
183,-0.07,1.31,-0.15,-0.58,0,False
183,-0.07,1.3,-0.15,-0.6,0,False
183,-0.07,1.29,-0.15,-0.63,0,False
183,-0.07,1.27,-0.17,-0.61,2,False
183,-0.07,1.26,-0.17,-0.64,0,False
183,-0.07,1.24,-0.19,-0.63,2,False
183,-0.08,1.23,-0.2,-0.63,2,False
183,-0.08,1.22,-0.2,-0.59,2,False
183,-0.08,1.2,-0.2,-0.62,0,False
183,-0.08,1.19,-0.19,-0.61,2,False
183,-0.08,1.18,-0.18,-0.57,2,False
183,-0.09,1.16,-0.18,-0.59,0,False
183,-0.09,1.15,-0.18,-0.59,2,False
183,-0.09,1.14,-0.18,-0.56,2,False
183,-0.09,1.12,-0.18,-0.59,0,False
183,-0.09,1.11,-0.2,-0.58,2,False
183,-0.09,1.1,-0.21,-0.61,1,False
183,-0.1,1.08,-0.2,-0.6,2,False
183,-0.1,1.07,-0.21,-0.58,2,False
183,-0.1,1.06,-0.22,-0.61,1,False
183,-0.1,1.04,-0.23,-0.57,2,False
183,-0.11,1.03,-0.23,-0.6,0,False
183,-0.11,1.02,-0.24,-0.6,2,False
183,-0.11,1.0,-0.25,-0.63,1,False
183,-0.11,0.99,-0.25,-0.61,2,False
183,-0.12,0.98,-0.26,-0.6,2,False
183,-0.12,0.96,-0.27,-0.63,1,False
183,-0.12,0.95,-0.28,-0.61,2,False
183,-0.12,0.93,-0.27,-0.61,2,False
183,-0.13,0.92,-0.27,-0.6,2,False
183,-0.13,0.91,-0.26,-0.57,2,False
183,-0.13,0.89,-0.28,-0.6,1,False
183,-0.14,0.88,-0.25,-0.56,2,False
183,-0.14,0.87,-0.27,-0.59,1,False
183,-0.14,0.85,-0.25,-0.59,2,False
183,-0.14,0.84,-0.24,-0.56,2,False
183,-0.15,0.83,-0.25,-0.54,2,False
183,-0.15,0.82,-0.24,-0.53,2,False
183,-0.15,0.81,-0.25,-0.55,1,False
183,-0.15,0.79,-0.24,-0.51,2,False
183,-0.16,0.78,-0.25,-0.54,1,False
183,-0.16,0.77,-0.25,-0.51,2,False
183,-0.16,0.76,-0.22,-0.49,2,False
183,-0.16,0.75,-0.23,-0.51,1,False
183,-0.17,0.74,-0.22,-0.51,2,False
183,-0.17,0.73,-0.22,-0.49,2,False
183,-0.17,0.72,-0.21,-0.49,2,False
183,-0.17,0.7,-0.21,-0.48,2,False
183,-0.17,0.69,-0.19,-0.46,2,False
183,-0.18,0.68,-0.2,-0.48,1,False
183,-0.18,0.67,-0.18,-0.47,2,False
183,-0.18,0.66,-0.18,-0.45,2,False
183,-0.18,0.65,-0.17,-0.41,2,False
183,-0.18,0.64,-0.18,-0.44,1,False
183,-0.19,0.63,-0.15,-0.4,2,False
183,-0.19,0.63,-0.16,-0.42,1,False
183,-0.19,0.62,-0.14,-0.41,2,False
183,-0.19,0.61,-0.15,-0.43,1,False
183,-0.19,0.6,-0.15,-0.41,2,False
183,-0.19,0.59,-0.16,-0.43,1,False
183,-0.19,0.58,-0.15,-0.4,2,False
183,-0.2,0.57,-0.15,-0.4,2,False
183,-0.2,0.56,-0.16,-0.42,1,False
183,-0.2,0.55,-0.16,-0.42,2,False
183,-0.2,0.54,-0.15,-0.4,2,False
183,-0.2,0.53,-0.16,-0.43,1,False
183,-0.2,0.52,-0.12,-0.4,2,False
183,-0.21,0.51,-0.1,-0.37,2,False
183,-0.21,0.51,-0.11,-0.39,1,False
183,-0.21,0.5,-0.12,-0.42,1,False
183,-0.21,0.49,-0.07,-0.38,2,False
183,-0.21,0.48,-0.08,-0.41,1,False
183,-0.21,0.47,-0.04,-0.37,2,False
183,-0.21,0.46,-0.04,-0.4,1,False
183,-0.21,0.45,-0.02,-0.39,2,False
183,-0.21,0.44,-0.03,-0.42,1,False
183,-0.21,0.43,0.02,-0.39,2,False
183,-0.21,0.43,0.01,-0.41,1,False
183,-0.21,0.42,0.02,-0.42,2,False
183,-0.21,0.41,0.03,-0.42,2,False
183,-0.21,0.4,0.07,-0.38,2,False
183,-0.21,0.39,0.06,-0.41,1,False
183,-0.21,0.38,0.09,-0.38,2,False
183,-0.21,0.37,0.08,-0.41,1,False
183,-0.21,0.36,0.12,-0.39,2,False
183,-0.21,0.35,0.11,-0.42,1,False
183,-0.2,0.34,0.14,-0.42,2,False
183,-0.2,0.34,0.18,-0.39,2,False
183,-0.2,0.33,0.17,-0.42,1,False
183,-0.2,0.32,0.2,-0.41,2,False
183,-0.2,0.31,0.23,-0.4,2,False
183,-0.19,0.3,0.22,-0.42,1,False
183,-0.19,0.29,0.23,-0.42,2,False
183,-0.19,0.28,0.27,-0.39,2,False
183,-0.19,0.27,0.26,-0.41,1,False
183,-0.18,0.26,0.28,-0.4,2,False
183,-0.18,0.25,0.27,-0.42,1,False
183,-0.18,0.24,0.3,-0.42,2,False
183,-0.17,0.23,0.34,-0.39,2,False
183,-0.17,0.22,0.33,-0.42,1,False
183,-0.17,0.22,0.35,-0.4,2,False
183,-0.16,0.21,0.37,-0.4,2,False
183,-0.16,0.2,0.36,-0.42,1,False
183,-0.16,0.19,0.39,-0.38,2,False
183,-0.15,0.18,0.37,-0.41,1,False
183,-0.15,0.17,0.38,-0.39,2,False
183,-0.14,0.16,0.4,-0.37,2,False
183,-0.14,0.15,0.39,-0.39,1,False
183,-0.14,0.14,0.41,-0.39,2,False
183,-0.13,0.14,0.43,-0.37,2,False
183,-0.13,0.13,0.47,-0.35,2,False
183,-0.12,0.12,0.49,-0.33,2,False
183,-0.12,0.11,0.49,-0.36,1,False
183,-0.11,0.1,0.51,-0.33,2,False
183,-0.11,0.1,0.53,-0.3,2,False
183,-0.1,0.09,0.52,-0.33,1,False
183,-0.1,0.08,0.54,-0.33,2,False
183,-0.09,0.08,0.54,-0.31,2,False
183,-0.08,0.07,0.56,-0.27,2,False
183,-0.08,0.06,0.55,-0.29,1,False
183,-0.07,0.06,0.58,-0.3,2,False
183,-0.07,0.05,0.57,-0.29,2,False
183,-0.06,0.04,0.6,-0.26,2,False
183,-0.05,0.04,0.61,-0.23,2,False
183,-0.05,0.03,0.63,-0.21,2,False
183,-0.04,0.03,0.64,-0.19,2,False
183,-0.03,0.03,0.65,-0.19,2,False
183,-0.03,0.02,0.66,-0.19,2,False
183,-0.02,0.02,0.68,-0.18,2,False
183,-0.01,0.01,0.71,-0.15,2,False
183,-0.01,0.01,0.7,-0.15,2,False
183,0.0,0.01,0.71,-0.11,2,False
183,0.01,0.01,0.73,-0.11,2,False
183,0.02,0.0,0.73,-0.08,2,False
183,0.02,0.0,0.73,-0.07,2,False
183,0.03,0.0,0.72,-0.08,1,False
183,0.04,-0.0,0.71,-0.08,1,False
183,0.04,-0.0,0.7,-0.08,1,False
183,0.05,-0.01,0.68,-0.09,1,False
183,0.06,-0.01,0.67,-0.08,0,False
183,0.06,-0.01,0.65,-0.07,1,False
183,0.07,-0.01,0.63,-0.05,1,False
183,0.08,-0.01,0.61,-0.02,1,False
183,0.08,-0.01,0.59,-0.0,1,False
183,0.09,-0.01,0.57,0.02,1,False
183,0.09,-0.01,0.55,0.04,1,False
183,0.1,-0.01,0.53,0.06,1,False
183,0.1,-0.01,0.52,0.06,1,False
183,0.11,-0.0,0.5,0.05,1,False
183,0.11,-0.0,0.49,0.04,1,False
183,0.12,-0.0,0.48,0.02,1,False
183,0.12,-0.0,0.47,-0.0,1,False
183,0.13,-0.0,0.46,-0.02,1,False
183,0.13,-0.0,0.44,-0.03,1,False
183,0.14,-0.01,0.43,-0.03,1,False
183,0.14,-0.01,0.42,-0.02,1,False
183,0.15,-0.01,0.4,-0.01,1,False
183,0.15,-0.01,0.39,-0.0,1,False
183,0.15,-0.01,0.37,0.01,1,False
183,0.16,-0.01,0.36,0.01,1,False
183,0.16,-0.01,0.35,0.01,1,False
183,0.16,-0.01,0.34,-0.01,1,False
183,0.17,-0.01,0.33,-0.02,1,False
183,0.17,-0.01,0.32,-0.02,1,False
183,0.17,-0.01,0.3,-0.01,1,False
183,0.18,-0.01,0.29,-0.01,1,False
183,0.18,-0.01,0.28,-0.01,1,False
183,0.18,-0.01,0.26,-0.01,1,False
183,0.18,-0.01,0.25,-0.01,1,False
183,0.19,-0.01,0.24,-0.01,1,False
183,0.19,-0.01,0.23,-0.01,1,False
183,0.19,-0.01,0.22,-0.01,1,False
183,0.19,-0.01,0.2,-0.01,1,False
183,0.19,-0.01,0.19,-0.01,1,False
183,0.2,-0.01,0.18,-0.01,1,False
183,0.2,-0.01,0.16,-0.01,1,False
183,0.2,-0.01,0.15,-0.01,1,False
183,0.2,-0.01,0.14,-0.01,1,False
183,0.2,-0.01,0.13,-0.01,1,False
183,0.2,-0.01,0.11,-0.01,1,False
183,0.2,-0.01,0.1,-0.01,1,False
183,0.2,-0.01,0.09,-0.0,1,False
183,0.21,-0.01,0.08,-0.0,1,False
183,0.21,-0.01,0.07,-0.0,1,False
183,0.21,-0.01,0.05,-0.0,1,False
183,0.21,-0.01,0.04,-0.0,1,False
183,0.21,-0.01,0.03,-0.0,1,False
183,0.21,-0.01,0.02,-0.0,1,False
183,0.21,-0.01,0.0,-0.0,1,False
183,0.21,-0.01,-0.0,0.0,1,False
183,0.21,-0.01,-0.01,0.0,1,False
183,0.21,-0.01,-0.01,0.0,1,False
183,0.21,-0.01,-0.01,0.0,1,False
183,0.21,-0.01,-0.01,0.0,1,False
183,0.21,-0.01,-0.01,0.0,1,False
183,0.21,-0.01,-0.01,0.0,1,False
183,0.21,-0.01,-0.01,0.0,1,False
183,0.21,-0.01,-0.02,0.0,1,False
183,0.21,-0.01,-0.02,0.0,1,False
183,0.21,-0.01,-0.02,0.0,1,False
183,0.21,-0.01,-0.02,0.0,1,False
183,0.21,-0.01,-0.03,0.0,1,False
183,0.21,-0.01,-0.03,0.0,1,False
183,0.21,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.04,0.0,1,False
183,0.2,-0.01,-0.04,0.0,1,False
183,0.2,-0.01,-0.04,0.0,1,False
183,0.2,-0.01,-0.03,0.0,0,False
183,0.2,-0.01,-0.04,0.0,1,False
183,0.2,-0.01,-0.03,0.0,0,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.04,0.0,1,False
183,0.2,-0.01,-0.04,0.0,1,False
183,0.2,-0.01,-0.04,0.0,1,False
183,0.2,-0.01,-0.03,0.0,0,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.04,0.0,1,False
183,0.2,-0.01,-0.03,0.0,0,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,0,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.2,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.02,0.0,0,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.02,0.0,0,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.02,0.0,0,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.02,0.0,0,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.02,0.0,0,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.02,0.0,0,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.03,0.0,1,False
183,0.19,-0.01,-0.02,0.0,0,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,0,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,0,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.19,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.02,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.0,0.0,0,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.01,0.0,1,False
183,0.18,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,0,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,-0.0,0,False
183,0.17,-0.01,-0.0,-0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,0.0,-0.0,0,False
183,0.17,-0.01,0.0,-0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,-0.0,0,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
183,0.17,-0.01,-0.0,0.0,0,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.0,0.0,1,False
183,0.17,-0.01,-0.01,0.0,1,False
